,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,URL,Years of Service,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Teams,AllStars,MVPs
29,Danny Ainge,1982,1995,G,6-4,175.0,"March 17, 1959",Brigham Young University,/players/a/aingeda01.html,13,1042.0,508.0,26.6,4.5,9.5,0.469,1.0,2.5,0.378,3.5,7.0,0.502,0.519,1.6,1.9,0.846,0.7,2.0,2.7,4.0,1.1,0.1,1.5,2.4,11.5,4,1.0,0.0
30,Matthew Aitch,1968,1968,F,6-7,230.0,"September 21, 1944",Michigan State University,/players/a/aitchma01.html,0,45.0,0.0,14.2,2.2,5.5,0.405,0.0,0.0,0.0,2.2,5.4,0.408,0.405,1.2,1.7,0.675,0.0,0.0,3.6,0.4,0.0,0.0,0.8,1.5,5.6,1,0.0,0.0
31,Alexis Ajinca,2009,2017,C,7-2,248.0,"May 6, 1988",0,/players/a/ajincal01.html,8,293.0,76.0,13.3,2.2,4.4,0.503,0.0,0.1,0.286,2.2,4.2,0.51,0.507,0.9,1.1,0.797,1.2,2.7,3.9,0.5,0.3,0.6,0.8,2.3,5.3,4,0.0,0.0
32,Henry Akin,1967,1969,C-F,6-10,225.0,"July 31, 1944",Morehead State University,/players/a/akinhe01.html,2,88.0,0.0,8.4,1.5,4.2,0.35,0.0,1.0,0.0,1.5,4.2,0.352,0.35,0.5,0.8,0.676,0.0,2.0,2.1,0.5,0.0,0.0,2.0,1.5,3.5,2,0.0,0.0
33,Josh Akognon,2013,2013,G,5-11,185.0,"February 10, 1986","Washington State University, California State University, Fullerton",/players/a/akognjo01.html,0,3.0,0.0,3.0,0.7,1.3,0.5,0.3,0.7,0.5,0.3,0.7,0.5,0.625,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,1.0,1.7,1,0.0,0.0
34,Solomon Alabi,2011,2012,C,7-1,251.0,"March 21, 1988",Florida State University,/players/a/alabiso01.html,1,26.0,0.0,7.0,0.6,2.0,0.314,0.0,0.0,0.0,0.6,2.0,0.314,0.314,0.3,0.4,0.7,0.8,1.5,2.3,0.2,0.2,0.4,0.3,0.6,1.5,1,0.0,0.0
35,Mark Alarie,1987,1991,F,6-8,217.0,"December 11, 1963",Duke University,/players/a/alarima01.html,4,325.0,41.0,16.9,3.2,6.7,0.475,0.1,0.4,0.252,3.1,6.3,0.49,0.483,1.0,1.3,0.775,1.3,2.1,3.4,1.1,0.4,0.3,1.0,2.2,7.5,2,0.0,0.0
36,Gary Alcorn,1960,1961,C,6-9,225.0,"October 8, 1936","California State University, Fresno",/players/a/alcorga01.html,1,78.0,0.0,10.8,1.3,4.5,0.293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.2,0.598,0.0,0.0,4.2,0.3,0.0,0.0,0.0,2.2,3.3,2,0.0,0.0
37,Furkan Aldemir,2015,2015,F-C,6-10,240.0,"August 9, 1991",0,/players/a/aldemfu01.html,0,41.0,9.0,13.2,1.0,1.9,0.513,0.0,0.1,0.0,1.0,1.8,0.548,0.513,0.3,0.7,0.481,1.9,2.4,4.3,0.7,0.4,0.4,0.4,2.3,2.3,1,0.0,0.0
38,Cole Aldrich,2011,2018,C,6-11,250.0,"October 31, 1988",University of Kansas,/players/a/aldrico01.html,7,339.0,23.0,10.0,1.3,2.4,0.527,0.0,0.0,0.0,1.3,2.4,0.527,0.527,0.5,0.7,0.738,1.0,2.4,3.3,0.5,0.4,0.7,0.6,1.5,3.1,6,0.0,0.0
39,LaMarcus Aldridge,2007,2018,F-C,6-11,260.0,"July 19, 1985",University of Texas at Austin,/players/a/aldrila01.html,11,869.0,828.0,34.6,7.9,16.1,0.489,0.1,0.4,0.288,7.7,15.7,0.494,0.493,3.5,4.4,0.806,2.7,5.6,8.3,1.9,0.8,1.1,1.6,2.5,19.4,2,6.0,0.0
40,Chuck Aleksinas,1985,1985,C,6-11,260.0,"February 26, 1959","University of Kentucky, University of Connecticut",/players/a/aleksch01.html,0,74.0,4.0,15.1,2.2,4.6,0.478,0.0,0.0,0.0,2.2,4.5,0.479,0.478,0.7,1.0,0.733,1.2,2.5,3.6,0.5,0.2,0.2,1.0,2.3,5.1,1,0.0,0.0
41,Cliff Alexander,2016,2016,F,6-8,245.0,"November 16, 1995",University of Kansas,/players/a/alexacl01.html,0,8.0,0.0,4.5,0.6,1.3,0.5,0.0,0.0,0.0,0.6,1.3,0.5,0.5,0.0,0.0,0.0,0.3,0.5,0.8,0.0,0.1,0.3,0.1,0.1,1.3,2,0.0,0.0
42,Cory Alexander,1996,2005,G,6-1,185.0,"June 22, 1973",University of Virginia,/players/a/alexaco01.html,9,307.0,35.0,15.8,1.9,4.9,0.389,0.8,2.2,0.354,1.1,2.7,0.417,0.468,0.9,1.1,0.756,0.3,1.3,1.6,2.7,0.9,0.1,1.5,1.7,5.5,4,0.0,0.0
43,Courtney Alexander,2001,2003,G,6-5,205.0,"April 27, 1977","University of Virginia, California State University, Fresno",/players/a/alexaco02.html,2,187.0,59.0,21.7,3.5,8.3,0.422,0.2,0.6,0.339,3.3,7.7,0.429,0.435,1.8,2.2,0.813,0.7,1.5,2.2,1.2,0.6,0.1,1.1,2.0,9.0,3,0.0,0.0
44,Gary Alexander,1994,1994,F,6-7,240.0,"November 1, 1969",University of South Florida,/players/a/alexaga01.html,0,11.0,0.0,5.0,0.7,1.3,0.571,0.0,0.0,0.0,0.7,1.3,0.571,0.571,0.3,0.8,0.333,0.6,0.7,1.4,0.2,0.3,0.0,0.7,0.9,1.7,2,0.0,0.0
45,Joe Alexander,2009,2010,F,6-8,230.0,"December 26, 1986",West Virginia University,/players/a/alexajo01.html,1,67.0,0.0,11.1,1.5,3.7,0.41,0.2,0.7,0.34,1.3,3.0,0.426,0.442,0.9,1.3,0.698,0.7,1.1,1.8,0.7,0.2,0.4,0.8,1.7,4.2,2,0.0,0.0
46,Victor Alexander,1992,2002,C-F,6-9,265.0,"August 31, 1969",Iowa State University,/players/a/alexavi01.html,10,286.0,155.0,20.1,3.8,7.4,0.518,0.1,0.2,0.286,3.8,7.2,0.525,0.522,1.1,1.8,0.634,1.6,3.3,4.8,0.9,0.5,0.6,1.3,2.5,8.9,2,0.0,0.0
47,Steve Alford,1988,1991,G,6-2,183.0,"November 23, 1964",Indiana University,/players/a/alforst01.html,3,169.0,3.0,9.7,1.7,3.8,0.459,0.2,0.6,0.324,1.5,3.1,0.487,0.487,0.8,0.9,0.87,0.1,0.7,0.9,1.0,0.5,0.1,0.5,0.7,4.4,2,0.0,0.0
48,Bill Allen,1968,1968,C-F,6-8,205.0,0,New Mexico State University,/players/a/allenbi01.html,0,38.0,0.0,22.6,3.2,7.4,0.429,0.1,0.1,1.0,3.1,7.3,0.424,0.432,1.5,2.6,0.586,0.0,0.0,7.1,0.6,0.0,0.0,1.0,3.2,7.9,1,0.0,0.0
49,Bob Allen,1969,1969,F,6-9,205.0,"July 17, 1946",Marshall University,/players/a/allenbo01.html,0,27.0,0.0,8.6,0.5,1.6,0.326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.3,0.556,0.0,0.0,2.1,0.4,0.0,0.0,0.0,1.0,1.8,1,0.0,0.0
50,Jarrett Allen,2018,2018,F-C,6-10,234.0,"April 21, 1998",University of Texas at Austin,/players/a/allenja01.html,0,72.0,31.0,20.0,3.3,5.5,0.589,0.1,0.2,0.333,3.2,5.3,0.599,0.596,1.6,2.0,0.776,2.0,3.4,5.4,0.7,0.4,1.2,1.1,2.0,8.2,1,0.0,0.0
51,Jerome Allen,1996,1997,G,6-4,184.0,"January 28, 1973",University of Pennsylvania,/players/a/allenje01.html,1,117.0,1.0,11.2,1.0,2.8,0.35,0.3,1.1,0.317,0.6,1.7,0.37,0.411,0.6,0.9,0.63,0.3,0.8,1.1,1.7,0.4,0.1,0.9,1.1,2.9,3,0.0,0.0
52,Kadeem Allen,2018,2018,G,6-3,192.0,"January 15, 1993",University of Arizona,/players/a/allenka01.html,0,18.0,1.0,5.9,0.3,1.2,0.273,0.0,0.6,0.0,0.3,0.6,0.545,0.273,0.4,0.5,0.778,0.2,0.4,0.6,0.7,0.2,0.1,0.5,0.8,1.1,1,0.0,0.0
53,Lavoy Allen,2012,2017,F-C,6-9,260.0,"February 4, 1989",Temple University,/players/a/allenla01.html,5,388.0,87.0,17.8,2.1,4.5,0.471,0.0,0.0,0.133,2.1,4.5,0.474,0.472,0.5,0.7,0.682,1.8,2.9,4.8,1.0,0.3,0.6,0.7,1.8,4.8,2,0.0,0.0
54,Lucius Allen,1970,1979,G,6-2,175.0,"September 26, 1947","University of California, Los Angeles",/players/a/allenlu01.html,9,702.0,0.0,28.7,5.5,11.9,0.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,3.1,0.76,1.0,2.3,3.1,4.5,1.5,0.3,2.3,2.6,13.4,4,0.0,0.0
55,Malik Allen,2002,2011,F-C,6-10,255.0,"June 27, 1978",Villanova University,/players/a/allenma01.html,9,478.0,125.0,15.2,2.2,4.9,0.439,0.0,0.0,0.188,2.2,4.9,0.441,0.44,0.5,0.7,0.778,1.0,1.9,2.8,0.5,0.3,0.5,0.7,1.9,4.9,8,0.0,0.0
56,Randy Allen,1989,1990,F,6-8,220.0,"January 26, 1965",Florida State University,/players/a/allenra01.html,1,70.0,6.0,11.3,1.6,3.7,0.442,0.0,0.1,0.0,1.6,3.6,0.456,0.442,0.3,0.6,0.533,0.7,1.3,2.1,0.3,0.2,0.3,0.4,1.6,3.6,1,0.0,0.0
57,Tony Allen,2005,2018,G-F,6-4,213.0,"January 11, 1982","Butler County Community College, Oklahoma State University",/players/a/allento01.html,13,820.0,441.0,22.0,3.2,6.6,0.475,0.2,0.5,0.282,3.0,6.1,0.492,0.487,1.7,2.3,0.709,1.2,2.3,3.5,1.3,1.4,0.4,1.4,2.4,8.1,4,0.0,0.0
58,Willie Allen,1972,1972,F,6-6,230.0,"February 8, 1949",University of Miami,/players/a/allenwi01.html,0,7.0,0.0,4.3,0.6,1.9,0.308,0.0,0.0,0.0,0.6,1.9,0.308,0.308,0.7,0.9,0.833,0.6,1.4,2.0,0.6,0.0,0.0,0.9,1.6,1.9,0,0.0,0.0
59,Odis Allison,1972,1972,F,6-6,195.0,"October 2, 1949","University of Nevada, Las Vegas",/players/a/allisod01.html,0,36.0,0.0,4.6,0.5,2.2,0.218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.7,0.541,0.0,0.0,1.3,0.3,0.0,0.0,0.0,0.9,1.9,1,0.0,0.0
60,Lance Allred,2008,2008,C,6-11,250.0,"February 2, 1981","University of Utah, Weber State University",/players/a/allrela01.html,0,3.0,0.0,3.3,0.3,1.3,0.25,0.0,0.0,0.0,0.3,1.3,0.25,0.25,0.3,0.7,0.5,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,1.0,1,0.0,0.0
61,Darrell Allums,1981,1981,F,6-9,220.0,"September 12, 1958","University of California, Los Angeles",/players/a/allumda01.html,0,22.0,0.0,12.5,1.0,3.0,0.343,0.0,0.0,0.0,1.0,3.0,0.348,0.343,0.6,1.0,0.591,0.9,2.1,3.0,1.1,0.2,0.4,1.0,2.3,2.7,1,0.0,0.0
62,Morris Almond,2008,2012,G,6-6,225.0,"February 2, 1985",Rice University,/players/a/almonmo01.html,4,38.0,1.0,9.5,1.1,3.0,0.381,0.2,0.6,0.292,0.9,2.3,0.404,0.412,0.7,0.9,0.743,0.3,0.9,1.2,0.3,0.3,0.1,0.5,1.1,3.1,2,0.0,0.0
63,Derrick Alston,1995,1997,F,6-11,225.0,"August 20, 1972",Duquesne University,/players/a/alstode01.html,2,139.0,42.0,19.1,2.3,4.7,0.489,0.0,0.1,0.143,2.3,4.6,0.493,0.49,0.8,1.7,0.487,1.6,2.1,3.8,0.7,0.7,0.6,0.8,2.1,5.4,2,0.0,0.0
64,Rafer Alston,2000,2010,G,6-2,171.0,"July 24, 1976","California State University, Fresno",/players/a/alstora01.html,10,671.0,452.0,28.9,3.7,9.5,0.383,1.5,4.2,0.354,2.2,5.3,0.407,0.461,1.3,1.8,0.729,0.4,2.5,2.8,4.8,1.2,0.2,1.8,2.1,10.1,6,0.0,0.0
65,Peter Aluma,1999,1999,C,6-10,260.0,"April 23, 1973",Liberty University,/players/a/alumape01.html,0,2.0,0.0,2.5,0.5,1.0,0.5,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.5,0.5,1.0,2.0,1.0,1,0.0,0.0
66,John Amaechi,1996,2003,C-F,6-10,270.0,"November 26, 1970","Vanderbilt University, Pennsylvania State University",/players/a/amaecjo01.html,7,294.0,93.0,16.4,2.3,5.6,0.403,0.0,0.0,0.077,2.3,5.6,0.405,0.403,1.7,2.6,0.671,0.8,1.8,2.6,0.8,0.3,0.3,1.3,1.7,6.2,3,0.0,0.0
67,Ashraf Amaya,1996,1997,F,6-8,230.0,"November 23, 1971",Southern Illinois University,/players/a/amayaas01.html,1,85.0,34.0,14.7,1.6,3.4,0.455,0.0,0.0,0.5,1.6,3.4,0.455,0.457,1.3,2.1,0.633,1.6,2.6,4.2,0.4,0.3,0.2,0.8,2.1,4.5,2,0.0,0.0
68,Al-Farouq Aminu,2011,2018,F,6-9,220.0,"September 21, 1990",Wake Forest University,/players/a/aminual01.html,7,589.0,348.0,24.8,2.8,6.6,0.421,0.7,2.2,0.336,2.0,4.4,0.464,0.477,1.2,1.7,0.726,1.4,4.5,5.9,1.2,1.0,0.6,1.3,1.9,7.5,5,0.0,0.0
69,Lou Amundson,2007,2016,F,6-9,220.0,"December 7, 1982","University of Nevada, Las Vegas",/players/a/amundlo01.html,9,428.0,42.0,12.9,1.5,3.2,0.474,0.0,0.0,0.0,1.5,3.2,0.475,0.474,0.6,1.4,0.444,1.5,2.1,3.6,0.4,0.4,0.7,0.7,2.0,3.7,11,0.0,0.0
70,Bob Anderegg,1960,1960,F-G,6-3,200.0,"August 24, 1937",Michigan State University,/players/a/anderbo01.html,0,33.0,0.0,11.3,1.7,4.3,0.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.3,0.548,0.0,0.0,2.1,0.9,0.0,0.0,0.0,1.0,4.0,1,0.0,0.0
71,Chris Andersen,2002,2017,F-C,6-10,245.0,"July 7, 1978",Blinn College,/players/a/anderch01.html,15,695.0,45.0,17.7,1.9,3.6,0.532,0.0,0.1,0.221,1.9,3.5,0.541,0.535,1.5,2.3,0.654,1.7,3.3,5.0,0.5,0.4,1.4,0.7,1.9,5.4,6,0.0,0.0
72,David Andersen,2010,2011,C,6-11,245.0,"June 23, 1980",0,/players/a/anderda03.html,1,103.0,0.0,12.3,2.0,4.5,0.44,0.3,1.0,0.347,1.6,3.5,0.467,0.478,0.6,0.9,0.674,0.7,2.1,2.8,0.6,0.2,0.2,0.6,1.5,4.9,3,0.0,0.0
73,Alan Anderson,2006,2017,G-F,6-6,220.0,"October 16, 1982",Michigan State University,/players/a/anderal01.html,11,330.0,66.0,20.6,2.6,6.3,0.405,1.0,2.9,0.344,1.6,3.4,0.457,0.484,1.2,1.5,0.816,0.5,1.7,2.2,1.1,0.6,0.1,0.9,1.8,7.3,5,0.0,0.0
74,Andrew Anderson,1968,1970,G,6-2,184.0,"July 6, 1945",Canisius College,/players/a/anderan01.html,2,194.0,0.0,24.7,4.1,10.1,0.41,0.1,0.3,0.159,4.1,9.8,0.418,0.413,2.4,3.2,0.755,1.6,1.4,2.7,1.7,0.0,0.0,1.6,2.4,10.7,3,0.0,0.0
75,Antonio Anderson,2010,2010,G,6-6,215.0,"June 5, 1985",University of Memphis,/players/a/anderan02.html,0,1.0,0.0,15.0,1.0,3.0,0.333,0.0,0.0,0.0,1.0,3.0,0.333,0.333,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1,0.0,0.0
76,Cliff Anderson,1968,1971,G-F,6-2,200.0,"September 7, 1944",Saint Joseph's University,/players/a/andercl01.html,3,84.0,0.0,7.2,0.9,2.5,0.354,0.0,0.0,0.0,0.9,2.5,0.354,0.354,1.3,2.2,0.585,0.3,1.0,1.3,0.9,0.0,0.0,1.0,1.3,3.0,4,0.0,0.0
77,Dan Anderson,1968,1969,C,6-10,230.0,"February 15, 1943",Augsburg College,/players/a/anderda01.html,1,140.0,0.0,28.8,4.9,10.2,0.481,0.0,0.0,0.0,4.9,10.2,0.481,0.481,2.4,3.4,0.727,3.5,5.9,9.4,1.1,0.0,0.0,1.5,3.6,12.2,4,0.0,0.0
85,Dan Anderson,1975,1976,G,6-2,185.0,"January 1, 1951",University of Southern California,/players/a/anderda01.html,1,140.0,0.0,28.8,4.9,10.2,0.481,0.0,0.0,0.0,4.9,10.2,0.481,0.481,2.4,3.4,0.727,3.5,5.9,9.4,1.1,0.0,0.0,1.5,3.6,12.2,4,0.0,0.0
93,Derek Anderson,1998,2008,G,6-5,194.0,"July 18, 1974","Ohio State University, University of Kentucky",/players/a/anderde01.html,10,615.0,390.0,29.2,3.9,9.6,0.408,1.0,3.1,0.341,2.9,6.6,0.44,0.463,3.0,3.6,0.853,0.7,2.5,3.2,3.4,1.1,0.1,1.7,2.0,12.0,7,0.0,0.0
94,Dwight Anderson,1983,1983,G,6-3,185.0,"December 28, 1960","University of Kentucky, University of Southern California",/players/a/anderdw01.html,0,5.0,0.0,6.6,1.4,2.8,0.5,0.0,0.0,0.0,1.4,2.8,0.5,0.5,1.4,2.0,0.7,0.0,0.4,0.4,0.6,0.2,0.0,1.0,1.4,4.2,1,0.0,0.0
